Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,ATR_14,ret,trend,vol_ann,high_vol,regime_scalar,base_lev,target_exposure,rebalance_flag,position,position_lag,turnover,tcost,BT_ret_net,BT_equity,equity_bh,dd_strat,dd_bh
2023-01-11,90.83367156982422,91.5199966430664,91.5999984741211,89.01000213623047,89.18000030517578,26862000,88.56284294128417,91.78489868164063,107.02754428863526,52.698049191463255,-1.463101040050148,-1.8839612371947125,0.42086019714456446,93.51981074799203,88.56284294128417,83.60587513457632,2.68664332798549,0.03505984276776575,0,0.3150054515481231,0,0.3,0.5714186821700181,0.17142560465100543,0,0.18915744017045594,0.18915744017045594,0.0,0.0,0.006631830110729242,2.707792846376997,2.3747673004498626,-0.1792926348051852,-0.3892091740176681
2023-01-12,90.44660949707033,91.12999725341795,91.87000274658205,89.75,91.4800033569336,30258100,88.33952941894532,91.71780548095703,106.77780376434326,51.639150286047375,-1.1790294532334684,-1.7429748804024638,0.5639454271689954,92.41624106184912,88.33952941894532,84.26281777604152,2.702357700892857,-0.00426121796096679,0,0.3001741341682234,0,0.3,0.5996519336976733,0.17989558010930198,0,0.18915744017045594,0.18915744017045594,0.0,0.0,-0.0008060410815048479,2.705610254102612,2.364647899376069,-0.1799541586574258,-0.39181188685573776
2023-01-13,91.42918395996094,92.12000274658205,92.19000244140624,90.12999725341795,90.8499984741211,26329200,88.19313545227051,91.75055786132812,106.52776546478272,54.15739970649899,-0.8646480026680763,-1.5673095048555865,0.7026615021875102,91.49702859519769,88.19313545227051,84.88924230934333,2.6646270751953125,0.010863585361068129,0,0.3033505526462421,0,0.3,0.5933729094270362,0.17801187282811087,1,0.17801187282811087,0.18915744017045594,0.011145567342345064,7.801897139641544e-06,0.002047126100833244,2.7111489794724672,2.390336453679811,-0.1782754214117337,-0.3852047833730081
2023-01-17,90.60541534423828,91.29000091552734,92.25,90.05000305175781,92.05999755859376,32602400,88.21447448730468,91.8363101196289,106.27642211914062,51.7255625219392,-0.674197946611315,-1.3886871932067322,0.7144892465954171,91.57734926547054,88.21447448730468,84.85159970913882,2.6446266174316406,-0.009009908872022798,0,0.25995132529493903,0,0.3,0.6924373237788775,0.20773119713366323,0,0.17801187282811087,0.17801187282811087,0.0,0.0,-0.0016038707523193902,2.7068006469191106,2.368799740058682,-0.17959336142979354,-0.39074403224977283
2023-01-18,90.43669128417967,91.12000274658205,92.8000030517578,90.63999938964844,92.13999938964844,29116700,88.2571517944336,91.98895675659179,106.03848251342774,51.21827046918398,-0.5307612414249547,-1.2171020028503767,0.686340761425422,91.71352541142824,88.2571517944336,84.80077817743896,2.6635257175990503,-0.0018621851620852503,0,0.25880838512951243,0,0.3,0.6954952402717737,0.2086485720815321,0,0.17801187282811087,0.17801187282811087,0.0,0.0,-0.00033149106825551463,2.7059033666811088,2.364388596330793,-0.17986531890281698,-0.39187857967282924
2023-01-19,92.35221862792967,93.0500030517578,93.61000061035156,90.62999725341795,90.72000122070312,37000400,88.48592376708984,92.11738647460938,105.80474609375,56.44131381698145,-0.25952789522281705,-1.025587181324865,0.7660592861020479,92.38566857557937,88.48592376708984,84.58617895860031,2.7401907784598216,0.021180864940434807,0,0.25641301689463514,0,0.3,0.7019924424272319,0.21059773272816956,0,0.17801187282811087,0.17801187282811087,0.0,0.0,0.003770445436166073,2.716105827680718,2.41446839185638,-0.17677304583743259,-0.378998042001494
2023-01-20,97.28494262695312,98.0199966430664,98.3000030517578,95.0199966430664,95.0999984741211,63191100,88.93254890441895,92.30655715942383,105.58167404174804,66.4139240514541,0.3494280983929343,-0.7505841253813051,1.1000122237742396,94.47004748745223,88.93254890441895,83.39505032138567,2.916813441685268,0.05341207901995837,0,0.31343914671909556,0,0.3,0.5742741514075016,0.17228224542225049,1,0.17228224542225049,0.17801187282811087,0.005729627405860388,4.010739184102272e-06,0.009503973478801737,2.741919625432615,2.543430168393405,-0.16894911869803675,-0.34582903634932893
2023-01-23,99.04167175292967,99.79000091552734,100.04000091552734,97.5,97.9499969482422,40005100,89.43922080993653,92.52272384643555,105.37919883728027,69.12501161922303,0.9626862219772931,-0.40793005590958553,1.3706162778868787,96.58746940343592,89.43922080993653,82.29097221643714,2.9900316510881697,0.01805756449600704,0,0.31684134411741405,0,0.3,0.5681076770501774,0.17043230311505322,0,0.17228224542225049,0.17228224542225049,0.0,0.0,0.0031109977582292015,2.7504497312405802,2.589358322700259,-0.16636372126933197,-0.3340163019817918
2023-01-24,96.9673309326172,97.6999969482422,99.61000061035156,97.1999969482422,98.0999984741211,33078500,89.93249320983887,92.72876678466797,105.18641548156738,62.690091248749674,1.2667138462765593,-0.07300127547235657,1.3397151217489158,97.73338203570445,89.93249320983887,82.13160438397328,2.9134853907993863,-0.02094412163687165,0,0.3175287130446301,0,0.3,0.5668778683794186,0.17006336051382556,0,0.17228224542225049,0.17228224542225049,0.0,0.0,-0.003608300303996988,2.7405252826392164,2.5351264870281787,-0.16937173130729877,-0.3479647455612588
2023-01-25,94.50593566894533,95.22000122070312,96.16000366210938,93.76000213623048,95.56999969482422,42330000,90.22974739074706,92.7541748046875,104.98459793090821,56.025416170637435,1.2941260226707811,0.200424184156271,1.09370183851451,98.26026341592298,90.22974739074706,82.19923136557115,2.901151384626116,-0.025383758014153268,0,0.33270689553264104,0,0.3,0.5410167400102491,0.16230502200307473,0,0.17228224542225049,0.17228224542225049,0.0,0.0,-0.004373170827933371,2.7285404974199645,2.470775449746185,-0.1730042106208025,-0.3645158506766286
